event_id,name,url,created_at,starts_at,ends_at,year,weekday,month,season,hour,is_weekend,city,address,category_id,category,age_limit,properties,moderation_status,access_status,org_id,org_name,tickets_limit,tickets_total,is_registration_open,min_price,max_price,is_free,sold,attended,participants,duration_hours,lead_days
1249034,Бесплатный марафон 7 свиданий с собой,https://zdes-mozhno.timepad.ru/event/1249034/,,2020-02-02T20:00:00+0300,,2020,6,2,winter,20,1,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249055,Свободное макетирование,https://drakonoproject.timepad.ru/event/1249055/,,2020-02-01T16:30:00+0300,,2020,5,2,winter,16,1,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249166,Концерт «Маленькие дети - большой рояль»,https://timepad.ru/event/1249166/,,2020-02-03T15:00:00+0300,,2020,0,2,winter,15,0,,,460,Концерты,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249215,2 февраля. СЮЦАЙ. Открытый мастер-класс по изменению жизни,https://syucai-vstrechi-spb.timepad.ru/event/1249215/,,2020-02-02T19:00:00+0300,,2020,6,2,winter,19,1,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249274,"Как выбирать то, что нужно",https://consultingav.timepad.ru/event/1249274/,,2020-02-02T11:00:00+0300,,2020,6,2,winter,11,1,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249372,«Как попасть в американский акселератор и что он может дать?» Прямой репортаж из Силиконовой долины.,https://sergey-orekhanov.timepad.ru/event/1249372/,,2020-02-02T20:00:00+0300,,2020,6,2,winter,20,1,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249385,Трансформационная игра &quot;Благодарность&quot;,https://fishka-festival.timepad.ru/event/1249385/,,2020-02-03T19:00:00+0300,,2020,0,2,winter,19,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249418,Маркетинговый Альфа-марафон 1 УРОК: МАРКЕТИНГОВАЯ СТРАТЕГИЯ КОМПАНИИ,https://alfaface.timepad.ru/event/1249418/,,2020-02-02T20:00:00+0300,,2020,6,2,winter,20,1,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1249726,Открытый микрофон,https://profitrolli.timepad.ru/event/1249726/,,2020-02-03T20:00:00+0300,,2020,0,2,winter,20,0,,,463,Другие развлечения,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1250221,"«Городецкая роспись», встреча познавательного цикла",https://kidsbiblio.timepad.ru/event/1250221/,,2020-02-15T13:00:00+0300,,2020,5,2,winter,13,1,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1250470,Онлайн-консультация по комьюнити менеджменту,https://cpunetwork.timepad.ru/event/1250470/,,2020-02-03T10:00:00+0300,,2020,0,2,winter,10,0,,,1940,Гражданские проекты,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1250835,Быстрые свидания в Москве от FastLife,https://speed-dating-moscow.timepad.ru/event/1250835/,,2020-01-19T18:00:00+0300,,2020,6,1,winter,18,1,,,457,Вечеринки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1250959,Мастер-класс &quot;Создаем море&quot; в технике эпоксидной смолы.,https://vozmi-i-tvori.timepad.ru/event/1250959/,,2020-02-04T12:00:00+0300,,2020,1,2,winter,12,0,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1251398,Бесплатный вебинар: Как стать SMM-щиком без опыта работы | секреты 2020 ,https://artteh.timepad.ru/event/1251398/,,2020-02-04T14:00:00+0300,,2020,1,2,winter,14,0,,,452,ИТ и интернет,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1251404,Бесплатный вебинар: Как стать SMM-щиком без опыта работы | секреты 2020 ,https://artteh.timepad.ru/event/1251404/,,2020-02-04T21:00:00+0300,,2020,1,2,winter,21,0,,,452,ИТ и интернет,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1251464,Бесплатный вебинар: 6 Базовых навыков SMM-щика | открытие черного ящика,https://artteh.timepad.ru/event/1251464/,,2020-02-04T21:00:00+0300,,2020,1,2,winter,21,0,,,452,ИТ и интернет,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1251681,Красная Испания. Сеньор Рохо карнавалит �,https://winemood.timepad.ru/event/1251681/,,2020-02-04T19:30:00+0300,,2020,1,2,winter,19,0,,,457,Вечеринки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1251856,"Охрана труда, 36 часов.",https://instituteprof.timepad.ru/event/1251856/,,2020-01-13T10:00:00+0300,,2020,0,1,winter,10,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1251871,"Основы пожарной безопасности, 16 часов.",https://instituteprof.timepad.ru/event/1251871/,,2020-01-16T09:00:00+0300,,2020,3,1,winter,9,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1251883,Инструктаж по электробезопасности I группа,https://instituteprof.timepad.ru/event/1251883/,,2020-01-20T09:00:00+0300,,2020,0,1,winter,9,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1252046,Выставка &quot;В интересах аудитории&quot; стрит-арт художника Loketski,https://101st.timepad.ru/event/1252046/,,2020-02-03T00:00:00+0300,,2020,0,2,winter,0,0,,,525,Искусство и культура,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1252078,Курс вебинаров: «Мозг - Голод - Еда»,https://e2happy.timepad.ru/event/1252078/,,2020-02-06T00:00:00+0300,,2020,3,2,winter,0,0,,,399,Красота и здоровье,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1252134,Пост-релиз Клуба/школы &quot;Деньги - по-взрослому&quot; 31.01.2020,https://lifeairbiz.timepad.ru/event/1252134/,,2020-01-31T18:30:00+0300,,2020,4,1,winter,18,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1252321,&quot;Изобретательная влюбленная&quot; в ТЦ На Страстном,https://freeartnewsletter.timepad.ru/event/1252321/,,2020-02-05T19:00:00+0300,,2020,2,2,winter,19,0,,,459,Театры,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1252485,Иврит - 2 семестр,https://chaverim-ru.timepad.ru/event/1252485/,,2020-02-05T19:00:00+0300,,2020,2,2,winter,19,0,,,524,Хобби и творчество,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1252550,Новое событие,https://jazzd.timepad.ru/event/1252550/,,2020-02-06T00:30:00+0300,,2020,3,2,winter,0,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1253511,Набор в кейс-сборные МГИМО - весенний семестр,https://ccmgimo.timepad.ru/event/1253511/,,2020-02-07T12:00:00+0300,,2020,4,2,winter,12,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1253795,15 февраля: ШОУ ТРАНСФОРМЕРА в детский MOTOR. BIG CITY («Авиапарк»),https://motor-city-kids.timepad.ru/event/1253795/,,2020-01-21T10:00:00+0300,,2020,1,1,winter,10,0,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1254012,Журнал «Психотерапия» в 2020 году (с февраля),https://psychotherapy.timepad.ru/event/1254012/,,2020-02-07T00:00:00+0300,,2020,4,2,winter,0,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1254039,Основы криптовалют и как новичку заработать на трейдинге и инвестировании?,https://artyom-burtsev.timepad.ru/event/1254039/,,2020-02-07T00:00:00+0300,,2020,4,2,winter,0,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1254260,16 февраля: ШОУ ТРАНСФОРМЕРА в детский ГОРОД СТРОИТЕЛЕЙ (ТРЦ «Ривьера»),https://gorod-stroiteley.timepad.ru/event/1254260/,,2020-02-03T10:00:00+0300,,2020,0,2,winter,10,0,,,379,Для детей,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1254310,Серия &quot;Без цензуры!&quot; Один день с Лидией Чмель,https://lidiachmel.timepad.ru/event/1254310/,,2020-02-08T00:00:00+0300,,2020,5,2,winter,0,1,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1255991,Игра в CashFlow (&quot;Денежный поток&quot;) с сообществом Инвестбаня,https://investbanja.timepad.ru/event/1255991/,,2020-02-09T15:00:00+0300,,2020,6,2,winter,15,1,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256171,"Консультация психолога Александра Ройтмана (личная и по скайпу), по записи",https://marafon-roytmana.timepad.ru/event/1256171/,,2020-01-01T07:00:00+0300,,2020,2,1,winter,7,0,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256201,Stand-Up Фестиваль в «Ривьере»,https://stand-up-import.timepad.ru/event/1256201/,,2020-02-07T19:00:00+0300,,2020,4,2,winter,19,0,,,460,Концерты,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256204,Stand-Up Фестиваль в «Ривьере»,https://stand-up-import.timepad.ru/event/1256204/,,2020-02-08T18:00:00+0300,,2020,5,2,winter,18,1,,,460,Концерты,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256206,Stand-Up Фестиваль в «Ривьере»,https://stand-up-import.timepad.ru/event/1256206/,,2020-02-09T18:00:00+0300,,2020,6,2,winter,18,1,,,460,Концерты,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256237,Borodach Academy,https://borodach-academy.timepad.ru/event/1256237/,,2020-02-10T00:00:00+0300,,2020,0,2,winter,0,0,,,462,Другие события,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256267,Стипендии в Newcastle University с поступлением осенью 2020,https://intellectual.timepad.ru/event/1256267/,,2020-01-13T10:00:00+0300,,2020,0,1,winter,10,0,,,1315,Образование за рубежом,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256300,Мастер класс «Осинки&amp;Апельсинки»,https://svr.timepad.ru/event/1256300/,,2020-02-19T19:00:00+0300,,2020,2,2,winter,19,0,,,2335,Интеллектуальные игры,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256647,Чайная церемония и беседа &quot;Эзотерическая природа ума”,https://ametrine.timepad.ru/event/1256647/,,2020-02-08T19:30:00+0300,,2020,5,2,winter,19,1,,,453,Психология и самопознание,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256664,"Встреча клуба Redefluss Moskau (Toastmasters Int.), единственного в Москве ораторского клуба на немецком языке",https://redefluss-moskau.timepad.ru/event/1256664/,,2020-02-10T19:30:00+0300,,2020,0,2,winter,19,0,,,382,Иностранные языки,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
1256772,Multi-Programming Solutions is the Perfect Partner,https://mpsltd.timepad.ru/event/1256772/,,2020-02-10T00:00:00+0300,,2020,0,2,winter,0,0,,,217,Бизнес,,,not_moderated,,,,,,,0.0,0.0,1,,,,,
